-2.68421,-0.326607
-2.71539,0.169557
-2.88982,0.137346
-2.74644,0.311124
-2.72859,-0.333925
-2.2799,-0.747783
-2.82089,0.0821046
-2.62648,-0.170405
-2.88796,0.570798
-2.67384,0.106692
-2.50653,-0.651935
-2.61314,-0.0215206
-2.78743,0.22774
-3.2252,0.50328
-2.64354,-1.18619
-2.38387,-1.34475
-2.62253,-0.81809
-2.64832,-0.319137
-2.19908,-0.879244
-2.58735,-0.520474
-2.31053,-0.397868
-2.54323,-0.440032
-3.21586,-0.141615
-2.30313,-0.105523
-2.35617,0.0312097
-2.50792,0.139056
-2.46906,-0.137887
-2.56239,-0.374685
-2.63982,-0.31929
-2.63285,0.190076
-2.58846,0.197393
-2.41008,-0.41808
-2.64764,-0.819983
-2.59716,-1.10002
-2.67384,0.106692
-2.867,-0.0771932
-2.62523,-0.6068
-2.67384,0.106692
-2.98184,0.48025
-2.59032,-0.236059
-2.77014,-0.271059
-2.85221,0.932865
-2.9983,0.334308
-2.40551,-0.195917
-2.20883,-0.442696
-2.71567,0.242681
-2.53757,-0.510367
-2.84032,0.220576
-2.54269,-0.586281
-2.70391,-0.115011
